Rk,Player,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,school,player_link,player_id,season
5,Sherman Williams,12,0,1,0,0,0,0,0,0,0,alabama,/cfb/players/sherman-williams-2,sherman-williams-2,1992
1,Jay Barker,9,98,171,57.3,1525,8.9,7.5,4,7,131.8,alabama,/cfb/players/jay-barker-1,jay-barker-1,1993
2,Brian Burgdorf,9,48,84,57.1,533,6.3,5.7,4,3,119,alabama,/cfb/players/brian-burgdorf-1,brian-burgdorf-1,1993
3,David Palmer,12,15,30,50,260,8.7,5.5,2,3,124.8,alabama,/cfb/players/david-palmer-2,david-palmer-2,1993
4,Freddie Kitchens,6,7,14,50,188,13.4,6.6,2,3,167.1,alabama,/cfb/players/freddie-kitchens-1,freddie-kitchens-1,1993
5,Sherman Williams,11,1,1,100,63,63,83,1,0,959.2,alabama,/cfb/players/sherman-williams-2,sherman-williams-2,1993
1,Jay Barker,12,139,226,61.5,1996,8.8,9.1,14,5,151.7,alabama,/cfb/players/jay-barker-1,jay-barker-1,1994
2,Brian Burgdorf,4,4,13,30.8,42,3.2,-0.2,0,1,42.5,alabama,/cfb/players/brian-burgdorf-1,brian-burgdorf-1,1994
3,Sherman Williams,12,0,2,0,0,0,-22.5,0,1,-100,alabama,/cfb/players/sherman-williams-2,sherman-williams-2,1994
4,Bryne Diehl,12,1,1,100,44,44,44,0,0,469.6,alabama,/cfb/players/bryne-diehl-1,bryne-diehl-1,1994
5,Lance Tucker,2,1,1,100,12,12,12,0,0,200.8,alabama,/cfb/players/lance-tucker-1,lance-tucker-1,1994
6,Chad Key,12,1,1,100,11,11,11,0,0,192.4,alabama,/cfb/players/chad-key-1,chad-key-1,1994
1,Brian Burgdorf,9,96,162,59.3,1200,7.4,6.6,9,7,131.2,alabama,/cfb/players/brian-burgdorf-1,brian-burgdorf-1,1995
2,Freddie Kitchens,7,63,127,49.6,811,6.4,5.1,3,5,103.2,alabama,/cfb/players/freddie-kitchens-1,freddie-kitchens-1,1995
3,Hayden Stockton,11,1,2,50,49,24.5,24.5,0,0,255.8,alabama,/cfb/players/hayden-stockton-1,hayden-stockton-1,1995
1,Freddie Kitchens,12,152,302,50.3,2124,7,5.9,14,14,115.4,alabama,/cfb/players/freddie-kitchens-1,freddie-kitchens-1,1996
2,Warren Foust,7,7,16,43.8,63,3.9,-0.4,1,2,72.5,alabama,/cfb/players/warren-foust-1,warren-foust-1,1996
3,Chad Goss,12,1,1,100,5,5,5,0,0,142,alabama,/cfb/players/chad-goss-1,chad-goss-1,1996
4,Curtis Alexander,7,0,1,0,0,0,0,0,0,0,alabama,/cfb/players/curtis-alexander-1,curtis-alexander-1,1996
5,Shaun Alexander,11,0,1,0,0,0,0,0,0,0,alabama,/cfb/players/shaun-alexander-1,shaun-alexander-1,1996
1,Freddie Kitchens,11,121,237,51.1,1545,6.5,6.7,11,4,117.8,alabama,/cfb/players/freddie-kitchens-1,freddie-kitchens-1,1997
2,Lance Tucker,11,28,57,49.1,310,5.4,6.5,3,0,112.2,alabama,/cfb/players/lance-tucker-1,lance-tucker-1,1997
3,J.D. Phillips,4,1,3,33.3,4,1.3,8,1,0,154.5,alabama,/cfb/players/jd-phillips-1,jd-phillips-1,1997
4,Chad Goss,11,1,1,100,40,40,60,1,0,766,alabama,/cfb/players/chad-goss-1,chad-goss-1,1997
5,Dennis Riddle,10,1,1,100,13,13,33,1,0,539.2,alabama,/cfb/players/dennis-riddle-1,dennis-riddle-1,1997
1,Andrew Zow,11,143,256,55.9,1969,7.7,7.3,11,7,129.2,alabama,/cfb/players/andrew-zow-1,andrew-zow-1,1998
2,J.D. Phillips,5,46,84,54.8,429,5.1,4.3,1,2,96.8,alabama,/cfb/players/jd-phillips-1,jd-phillips-1,1998
3,Arvin Richard,11,1,1,100,37,37,57,1,0,740.8,alabama,/cfb/players/arvin-richard-1,arvin-richard-1,1998
1,Andrew Zow,11,148,264,56.1,1799,6.8,6.2,12,9,121.5,alabama,/cfb/players/andrew-zow-1,andrew-zow-1,1999
2,Tyler Watts,9,47,83,56.6,498,6,3.8,2,5,102.9,alabama,/cfb/players/tyler-watts-1,tyler-watts-1,1999
3,Freddie Milons,12,3,4,75,81,20.3,25.3,1,0,327.6,alabama,/cfb/players/freddie-milons-1,freddie-milons-1,1999
4,Shaun Alexander,11,0,1,0,0,0,0,0,0,0,alabama,/cfb/players/shaun-alexander-1,shaun-alexander-1,1999
1,Andrew Zow,10,120,249,48.2,1561,6.3,4.2,6,14,97.6,alabama,/cfb/players/andrew-zow-1,andrew-zow-1,2000
2,Tyler Watts,6,31,56,55.4,303,5.4,5,1,1,103.1,alabama,/cfb/players/tyler-watts-1,tyler-watts-1,2000
3,Jonathan Richey,11,2,3,66.7,25,8.3,8.3,0,0,136.7,alabama,/cfb/players/jonathan-richey-1,jonathan-richey-1,2000
4,Arvin Richard,11,0,1,0,0,0,-45,0,1,-200,alabama,/cfb/players/arvin-richard-1,arvin-richard-1,2000
1,Tyler Watts,9,94,172,54.7,1325,7.7,8.1,10,3,135.1,alabama,/cfb/players/tyler-watts-1,tyler-watts-1,2001
2,Andrew Zow,6,48,83,57.8,654,7.9,8.2,6,2,143.1,alabama,/cfb/players/andrew-zow-1,andrew-zow-1,2001
3,Antonio Carter,11,1,2,50,34,17,17,0,0,192.8,alabama,/cfb/players/antonio-carter-1,antonio-carter-1,2001
4,Jonathan Richey,11,0,2,0,0,0,0,0,0,0,alabama,/cfb/players/jonathan-richey-1,jonathan-richey-1,2001
1,Tyler Watts,11,112,181,61.9,1414,7.8,7.6,7,4,135.8,alabama,/cfb/players/tyler-watts-1,tyler-watts-1,2002
2,Brodie Croyle,12,60,123,48.8,1046,8.5,7.5,5,5,125.5,alabama,/cfb/players/brodie-croyle-1,brodie-croyle-1,2002
3,Lane Bearden,12,1,2,50,12,6,6,0,0,100.4,alabama,/cfb/players/lane-bearden-1,lane-bearden-1,2002
4,Spencer Pennington,6,1,1,100,1,1,1,0,0,108.4,alabama,/cfb/players/spencer-pennington-1,spencer-pennington-1,2002
5,Shaud Williams,13,0,1,0,0,0,0,0,0,0,alabama,/cfb/players/shaud-williams-1,shaud-williams-1,2002
1,Brodie Croyle,12,182,341,53.4,2303,6.8,6,16,13,118,alabama,/cfb/players/brodie-croyle-1,brodie-croyle-1,2003
2,Spencer Pennington,4,13,29,44.8,159,5.5,4.6,1,1,95.4,alabama,/cfb/players/spencer-pennington-1,spencer-pennington-1,2003
3,Brandon Avalos,3,5,15,33.3,18,1.2,-1.8,0,1,30.1,alabama,/cfb/players/brandon-avalos-1,brandon-avalos-1,2003
4,Bo Freelend,13,1,1,100,11,11,11,0,0,192.4,alabama,/cfb/players/bo-freelend-1,bo-freelend-1,2003
1,Spencer Pennington,9,82,152,53.9,974,6.4,4.6,4,8,105.9,alabama,/cfb/players/spencer-pennington-1,spencer-pennington-1,2004
2,Brodie Croyle,3,44,66,66.7,534,8.1,9.9,6,0,164.6,alabama,/cfb/players/brodie-croyle-1,brodie-croyle-1,2004
3,Marc Guillon,4,20,43,46.5,191,4.4,1.8,1,3,77.5,alabama,/cfb/players/marc-guillon-1,marc-guillon-1,2004
1,Brodie Croyle,12,202,339,59.6,2499,7.4,7.7,14,4,132.8,alabama,/cfb/players/brodie-croyle-1,brodie-croyle-1,2005
2,John Parker Wilson,5,7,11,63.6,98,8.9,12.5,2,0,198.5,alabama,/cfb/players/john-parker-wilson-1,john-parker-wilson-1,2005
3,Marc Guillon,2,0,1,0,0,0,0,0,0,0,alabama,/cfb/players/marc-guillon-1,marc-guillon-1,2005
1,John Parker Wilson,13,216,379,57,2707,7.1,6.9,17,10,126.5,alabama,/cfb/players/john-parker-wilson-1,john-parker-wilson-1,2006
2,Jimmy Barnes,2,6,11,54.5,45,4.1,5.9,1,0,118.9,alabama,/cfb/players/jimmy-barnes-1,jimmy-barnes-1,2006
