estimate,estimate.1,p.value,p.value.1
0.3333333333333333,0.37777777777777777,0.21637345679012343,0.1557418430335098
0,0.33333333333333337,1,0.75
0.6190476190476191,0.14285714285714285,0.06904761904761902,0.7726190476190475
0.14285714285714285,0.2857142857142857,0.7195436507936508,0.3987599206349206
0.3333333333333334,0.44444444444444453,0.2595182980599646,0.1194389329805996
0.07692307692307693,-0.358974358974359,0.7650248459102627,0.0999802599021349
0.5714285714285714,0.5714285714285714,0.061011904761904656,0.061011904761904656
0.2857142857142857,0,0.3987599206349206,1
0.27777777777777785,0.5000000000000001,0.3584876543209876,0.07517636684303342
0.33333333333333337,0.33333333333333337,1,1
0.3333333333333334,0.38888888888888895,0.2595182980599646,0.18018077601410942
0.3333333333333333,0.3333333333333333,0.3813492063492063,0.3813492063492063
0.6363636363636364,0.4909090909090909,0.005707170915504323,0.0405323573031906
-0.15555555555555556,0.3333333333333333,0.6006536596119929,0.21637345679012343
0.2857142857142857,0.6428571428571429,0.3987599206349206,0.03115079365079354
0.35714285714285715,0.5714285714285714,0.27509920634920637,0.061011904761904656
-0.055555555555555566,0.7777777777777779,0.919455467372134,0.0024250440917108484
0.7333333333333333,0.6888888888888889,0.0022128527336859882,0.004686948853615425
0.5,0.2857142857142857,0.10868055555555545,0.3987599206349206
0.2,0.6,0.44538214486131156,0.009945536716370107
0.22222222222222227,0.22222222222222227,0.47670855379188715,0.47670855379188715
-0.23636363636363636,0.5636363636363636,0.3587114698573032,0.016540504248837573
0.5238095238095238,0.6190476190476191,0.13611111111111107,0.06904761904761902
0.8095238095238095,0.6190476190476191,0.010714285714285676,0.06904761904761902
0.41818181818181815,0.45454545454545453,0.08656124739458071,0.06017015392015401
0.11111111111111113,0.38888888888888895,0.7614142416225749,0.18018077601410942
0.5000000000000001,0.44444444444444453,0.07517636684303342,0.1194389329805996
0.34545454545454546,0.5636363636363636,0.16457331248997908,0.016540504248837573
0.7333333333333333,0.2,0.05555555555555558,0.7194444444444446
0.28205128205128205,0.15384615384615385,0.20436677166711892,0.5097745711721406
0.42857142857142855,0.6428571428571429,0.17886904761904754,0.03115079365079354
0.6,0.6,0.009945536716370107,0.009945536716370107
0.6444444444444445,0.5111111111111111,0.009148478835978802,0.04662257495590838
0.6,0.5636363636363636,0.009945536716370107,0.016540504248837573
0.2857142857142857,0.42857142857142855,0.3987599206349206,0.17886904761904754
-0.14285714285714285,0.14285714285714285,0.7726190476190476,0.7726190476190475
