season,school_name,player_id,G,Att,yards_att_plus,cmp_pct_plus,td_pct_plus,int_pct_plus,srs,sos,off_plus
1960,air-force,rich-mayo-1,10,238,80.38234531745432,98.80983703385508,70.08946935417524,100.28365431775823,0.1,2.8,92.87151962428716
1960,air-force,jerry-thies-1,10,3,0,72.58253461128861,0,441.9909208819715,0.1,2.8,92.87151962428716
1960,air-force,jim-hinkle-1,10,2,532.326576224751,217.7476038338658,1191.520979020979,0,0.1,2.8,92.87151962428716
1960,air-force,willie-parma-1,10,1,0,0,0,0,0.1,2.8,92.87151962428716
1960,alabama,pat-trammell-1,10,43,115.41678182189592,106.34185303514376,0,30.836575875486382,14.1,4.46,104.87532148048754
1960,alabama,robert-skelton-1,10,94,100.19239978043595,99.60794643464075,126.75755095967862,56.42437287854955,14.1,4.46,104.87532148048754
1960,alabama,laurien-stapp-1,10,9,178.35215203427552,145.16506922257722,529.5648795648796,294.6606139213143,14.1,4.46,104.87532148048754
1960,arizona,ray-shackleford-1,10,6,95.5457957326476,108.8738019169329,397.17365967365964,0,5.1,-2,147.20451749972045
1960,arizona,eddie-wilson-1,10,116,144.0246970157151,116.38233998016965,184.89118639980708,80.01559774587415,5.1,-2,147.20451749972045
1960,arizona,jim-faulks-1,10,12,61.42229725670203,54.43690095846645,198.58682983682982,110.49773022049287,5.1,-2,147.20451749972045
1960,arizona-state,raul-disarufino-1,10,8,47.09042789680489,54.43690095846645,0,165.7465953307393,1.84,-6.46,140.88672704908868
1960,arizona-state,ron-cosner-1,10,56,123.4295687729917,97.20875171154725,170.21728271728273,71.03425514174542,1.84,-6.46,140.88672704908868
1960,arizona-state,joe-zuger-1,10,68,99.72090613441034,108.8738019169329,105.13420403126285,77.99839780270085,1.84,-6.46,140.88672704908868
1960,arkansas,billy-moore-1,10,30,111.92507500110148,87.09904153354633,158.86946386946386,88.3981841763943,15.87,8.59,106.13887957061388
1960,arkansas,george-mckinney-1,10,90,132.49017008260466,94.35729499467519,238.3041958041958,88.3981841763943,15.87,8.59,106.13887957061388
1960,army,cammy-lewis-1,10,5,49.13783780536162,43.54952076677316,0,265.19455252918294,8.28,-0.12,140.2549480040255
1960,army,dick-eckert-1,10,41,70.71054708576429,74.35284033351518,174.36892375916764,97.02239726677422,8.28,-0.12,140.2549480040255
1960,army,tom-blanda-1,10,164,111.75861891097492,122.15109483363207,116.24594917277844,64.68159817784948,8.28,-0.12,140.2549480040255
1960,auburn,joe-overton-1,10,8,104.41790533639346,81.6553514376997,297.88024475524475,331.4931906614786,14.35,6.75,97.92575198479256
1960,auburn,bobby-hunt-1,10,34,116.58192891075994,83.25643676000752,140.17893870835047,311.9935912108034,14.35,6.75,97.92575198479256
1960,auburn,bryant-harvard-1,10,59,137.14176201044432,132.86294471218932,80.7810833234562,67.42234386335159,14.35,6.75,97.92575198479256
1960,baylor,ronnie-stanley-1,10,134,140.6906749103762,121.87365886223833,88.9194760463417,79.16255299378594,16.79,9.06,104.24354243542436
1960,baylor,bobby-ply-1,10,59,114.37733997632198,107.02848324037473,161.5621666469124,112.37057310558596,16.79,9.06,104.24354243542436
1960,baylor,ronnie-goodwin-1,10,5,75.34468463488781,87.09904153354633,0,265.19455252918294,16.79,9.06,104.24354243542436
1960,baylor,tommy-minter-1,10,1,196.55135122144648,217.7476038338658,0,0,16.79,9.06,104.24354243542436
1960,baylor,robert-starr-1,10,1,0,0,0,0,16.79,9.06,104.24354243542436
1960,baylor,ronnie-bull-1,10,3,49.13783780536162,72.58253461128861,0,0,16.79,9.06,104.24354243542436
1960,boston-college,guy-garon-1,10,2,73.70675670804243,108.8738019169329,0,0,-4.14,-1.94,90.97618248909762
1960,boston-college,john-amabile-1,10,123,90.95160764515444,92.05589755578067,38.74864972425948,75.4618645408244,-4.14,-1.94,90.97618248909762
1960,boston-college,george-van-cott-1,10,70,119.80272836354833,108.8738019169329,170.21728271728273,113.65480822679265,-4.14,-1.94,90.97618248909762
1960,brigham-young,bud-belnap-1,11,51,91.53126650018342,81.12165633026373,140.17893870835047,207.99572747386895,-12.39,-4.39,58.755451190875554
1960,brigham-young,eldon-fortie-1,11,20,87.62914408622822,54.43690095846645,0,132.59727626459147,-12.39,-4.39,58.755451190875554
1960,brigham-young,brent-hancock-1,11,25,120.55149541582053,87.09904153354633,285.96503496503493,212.1556420233463,-12.39,-4.39,58.755451190875554
1960,brigham-young,dion-frazier-1,11,1,0,0,0,0,-12.39,-4.39,58.755451190875554
1960,brigham-young,bill-wright-2,11,1,0,0,0,0,-12.39,-4.39,58.755451190875554
1960,brown,dennis-hauflaire-1,9,23,44.86498234402583,85.20558410890402,103.61051991486774,57.65098968025715,-18.6,-9.82,70.12747400201275
1960,brown,parker-crowell-1,9,1,98.27567561072324,217.7476038338658,0,0,-18.6,-9.82,70.12747400201275
1960,brown,jack-rohrbach-1,9,156,90.08603597649632,106.08216597034487,61.103639949793795,101.99790481891651,-18.6,-9.82,70.12747400201275
1960,brown,henry-cashen-1,9,2,0,108.8738019169329,0,0,-18.6,-9.82,70.12747400201275
1960,brown,bob-myles-1,9,7,51.47773484371218,93.32040164308535,340.43456543456546,378.8493607559755,-18.6,-9.82,70.12747400201275
1960,brown,jon-meeker-1,9,2,0,0,0,0,-18.6,-9.82,70.12747400201275
1960,california,jack-trumbo-1,10,1,0,0,0,0,-5.42,4.68,58.755451190875554
1960,california,larry-balliett-1,10,9,101.91551544815745,96.77671281505147,264.7824397824398,0,-5.42,4.68,58.755451190875554
