cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
danny-kanell-1,KaneDa00,11,12.732830509642415,kelly-stouffer-1,mark-sanchez-1,steve-beuerlein-1
danny-wuerffel-1,WuerDa00,4,11.792188297992013,chris-simms-1,cody-kessler-1,tim-couch-1
daunte-culpepper-1,CulpDa00,47,23.072471395930144,paul-justin-1,cam-newton-1,donald-hollas-1
dave-ragone-1,RagoDa00,1,13.707474245718334,robert-griffin-iii-1,kyle-boller-1,heath-shuler-1
david-carr-1,CarrDa00,36,16.632199764786513,derek-anderson-1,bobby-hoying-1,will-furrer-1
david-fales-1,FaleDa00,1,12.838712343207257,luke-mccown-1,michael-vick-1,brodie-croyle-1
david-garrard-1,GarrDa00,9,18.344405584669836,jason-campbell-1,dak-prescott-1,spergon-wynn-1
david-klingler-1,KlinDa00,10,16.100913354216846,casey-weldon-1,bobby-hoying-1,derek-anderson-1
dennis-dixon-1,DixoDe00,2,18.77294950714978,sean-mannion-1,deshone-kizer-1,tony-banks-1
derek-anderson-1,AndeDe00,14,13.119000692659933,dan-orlovsky-1,michael-vick-1,cody-kessler-1
derek-carr-1,CarrDe02,40,17.918233266794346,david-carr-1,bobby-hoying-1,glenn-foley-1
deshaun-watson-1,WatsDe00,55,19.743495791339917,brett-hundley-1,nick-foles-1,alex-smith-3
deshone-kizer-1,KizeDe00,6,20.615654173878642,aaron-rodgers-1,jay-cutler-1,matt-schaub-1
don-majkowski-1,MajkDo00,33,22.826446803188876,dennis-dixon-1,philip-rivers-1,trent-edwards-1
donald-hollas-1,HollDo00,5,19.87820527672895,ryan-tannehill-1,trent-edwards-1,drew-bledsoe-1
donovan-mcnabb-1,McNaDo00,40,20.42156666667969,brett-hundley-1,dak-prescott-1,deshaun-watson-1
drew-bledsoe-1,BledDr00,43,17.29915933471619,ryan-finley-1,josh-mccown-1,peter-tom-willis-1
drew-brees-1,BreeDr00,34,21.303303845482716,cade-mcnown-1,seneca-wallace-1,bruce-gradkowski-1
drew-lock-1,LockDr00,12,17.460554713957745,jonathan-quinn-1,chris-miller-4,moses-moreno-1
drew-stanton-1,StanDr00,9,19.048623085792247,kerry-collins-1,andy-dalton-1,heath-shuler-1
dwayne-haskins-1,HaskDw00,4,13.977229263839288,jacoby-brissett-2,jamarcus-russell-1,cary-conklin-1
ej-manuel-1,ManuEJ00,10,21.553660868864558,jeff-blake-2,jared-goff-1,christian-ponder-1
eli-manning-1,MannEl00,36,16.96316642762923,randy-fasani-1,mason-rudolph-1,browning-nagle-1
elvis-grbac-1,GrbaEl00,20,11.748658571030832,tj-rubley-1,dan-mcgwire-1,andrew-walter-1
eric-zeier-1,ZeieEr00,4,16.782711744467125,mitch-trubisky-1,geno-smith-1,browning-nagle-1
erik-wilhelm-1,WilhEr00,3,11.427515536211112,tim-tebow-1,jim-harbaugh-1,chad-henne-1
geno-smith-1,SmitGe00,15,19.35818590510935,trent-green-1,tommy-hodson-1,kurt-kittner-1
glenn-foley-1,FoleGl00,4,17.49842008764135,mitch-trubisky-1,eric-zeier-1,tom-savage-1
greg-mcelroy-1,McElGr00,1,12.206935156219744,bobby-hoying-1,moses-moreno-1,derek-carr-1
gus-frerotte-1,FrerGu00,33,12.286404324891702,matt-ryan-1,michael-vick-1,ryan-leaf-1
heath-shuler-1,ShulHe00,6,19.39488287018199,marcus-mariota-1,rex-grossman-1,aaron-brooks-1
jacoby-brissett-2,BrisJa00,23,22.355178671913556,craig-krenzel-1,josh-rosen-1,moses-moreno-1
jake-fromm-1,FromJa00,1,11.997992205293434,cary-conklin-1,teddy-bridgewater-1,jake-luton-1
jake-locker-1,LockJa00,16,21.570520299260515,brett-hundley-1,dak-prescott-1,ty-detmer-1
jake-luton-1,LutoJa00,2,17.50719167335066,craig-whelihan-1,browning-nagle-1,brian-griese-1
jake-plummer-1,PlumJa00,28,16.46237332959805,jake-fromm-1,teddy-bridgewater-1,jameis-winston-1
