cfbref_id,pfr_id,av,season,pick,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,g,att,rush_att,srs,sos,off_plus,yards_plus,cmp_plus,td_plus,int_plus,rush_yards_plus,rush_tds_plus,predicted_av
brad-johnson-2,JohnBr00, 8.000000,1992,227,23,77,226,5.020000,29.50000,110.0000,4.290000,18.69921,7.139121,45, 249, 35, 19.66355556, 4.68288889,152.11070,    1.099728, 27.66223291,  3.21716209, -1.59734245,  -84.469813,  0.653240407, 8.6342577
brad-kaaya-1,KaayBr00, 0.000000,2017,215,22,76,214,4.596615,34.84802,118.2618,4.258107,17.58248,7.097321,38,1188, 94,  9.11789474, 3.62289474,103.48646, 1288.798280, 18.29810721,  6.44423650, -9.23553015, -824.425005, -0.434869776,19.0474495
brad-smith-1,SmitBr01, 0.000000,2006,103,22,74,210,4.460000,39.50000,128.0000,4.330000,17.21023,7.000000,47,1454,779,  3.82574468, 1.59106383,107.91656,-1619.501681, -9.19052972,-14.00347762,-16.35271476,  970.945948, 11.375980683,28.1599393
bradlee-van-pelt-1,VanPBr00, 0.000000,2004,250,24,74,220,4.980000,33.50000,115.0000,4.110000,18.14084,6.890000,38, 778,420,  4.22947368, 0.21421053,105.00206,  667.584695,-12.45447522, -0.44209771,  3.45586723,  547.481975,  7.274257933, 8.9984213
brady-quinn-1,QuinBr00, 3.000000,2007, 22,22,76,232,4.730000,33.82022,116.4206,4.345292,24.00000,7.211588,49,1602,254,  9.56653061, 6.22448980,108.87473,  407.653719,  4.22767979, 17.26008764,-14.12530181, -868.694239, -4.413655263,28.6450264
brandon-allen-2,AlleBr00, 4.000000,2016,201,24,73,217,4.840000,28.00000,110.0000,4.330000,17.86166,7.060000,42,1016,134,  8.51380952, 6.38380952, 99.91696,   81.668219,-19.46278741, 11.17603546, -2.99618087, -481.858652, -2.241344454, 2.6681240
brandon-doughty-1,DougBr00, 0.000000,2016,223,24,75,213,5.220000,27.00000,103.0000,4.520000,17.48941,7.490000,43,1491,102,  3.23139535,-4.34906977,132.93470, 2028.777455,139.53468895, 33.55561014, -8.58974273, -754.725380, -1.757187302, 0.9507231
brandon-weeden-1,WeedBr00,14.000000,2012, 22,28,76,221,4.890000,34.44832,117.5458,4.449874,18.23390,7.348655,30,1103, 39, 18.90000000, 4.76333333,159.69435, 1296.957938,103.50049410, 17.55256959, -5.97325428, -322.859930, -0.771960026, 2.3100856
brett-favre-1,FavrBr00,60.000000,1991, 33,21,74,225,4.656382,34.03760,116.8100,4.297173,18.60615,7.148521,44,1169,193,  3.19250000, 1.14000000, 98.01538, -471.853885,-11.36884039,  3.31547927,-18.32811786, -856.725460, -6.400873573,35.1747480
brett-hundley-1,HundBr00, 5.000000,2015,147,22,75,227,4.630000,36.00000,120.0000,3.980000,18.79227,6.930000,40,1241,479, 13.30000000, 6.72600000,119.78858,  956.180930, 94.17301799, 10.32912860,-10.16863200, -443.934058,  7.706021842,30.1703659
