pos,year,age,av,player_id,g,gs
QB,1984,25,2,KoflMa00,16,0
QB,1985,26,1,KoflMa00,5,1
QB,1982,22,6,PageMi00,9,9
QB,1983,23,8,PageMi00,15,15
QB,1984,24,5,PageMi00,11,9
QB,1985,25,9,PageMi00,16,14
QB,1986,26,0,PageMi00,1,0
QB,1987,27,0,PageMi00,4,0
QB,1988,28,2,PageMi00,5,4
QB,1989,29,0,PageMi00,16,0
QB,1990,30,2,PageMi00,16,3
QB,1991,31,0,PageMi00,16,0
QB,1992,32,0,PageMi00,16,0
QB,1993,33,0,PageMi00,7,0
QB,1987,28,1,KellMi21,3,1
QB,1984,24,1,MachMi00,4,0
QB,1983,23,0,HollBo00,5,0
QB,1985,25,1,HollBo00,5,0
QB,1983,23,4,ElwaJo00,11,10
QB,1984,24,10,ElwaJo00,15,14
QB,1985,25,13,ElwaJo00,16,16
QB,1986*,26,14,ElwaJo00,16,16
QB,1987*,27,14,ElwaJo00,12,12
QB,1988,28,12,ElwaJo00,15,15
QB,1989*,29,12,ElwaJo00,15,15
QB,1990,30,14,ElwaJo00,16,16
QB,1991*,31,14,ElwaJo00,16,16
QB,1992,32,7,ElwaJo00,12,12
QB,1993*,33,17,ElwaJo00,16,16
QB,1994*,34,13,ElwaJo00,14,14
QB,1995,35,15,ElwaJo00,16,16
QB,1996*,36,15,ElwaJo00,15,15
QB,1997*,37,18,ElwaJo00,16,16
QB,1998*,38,14,ElwaJo00,13,12
QB,1983,22,1,BlacTo00,4,0
QB,1984,23,3,BlacTo00,11,8
QB,1985,24,1,BlacTo00,12,6
QB,1986,25,4,BlacTo00,10,8
QB,1987,26,1,BlacTo00,3,2
QB,1988,27,2,BlacTo00,3,3
QB,1989,28,1,BlacTo00,3,2
QB,1986,26,12,KellJi00,16,16
QB,1987*,27,9,KellJi00,12,12
QB,1988*,28,13,KellJi00,16,16
QB,1989,29,12,KellJi00,13,13
QB,1990*,30,14,KellJi00,14,14
QB,1991*+,31,17,KellJi00,15,15
QB,1992*,32,14,KellJi00,16,16
QB,1993,33,12,KellJi00,16,16
QB,1994,34,12,KellJi00,14,14
QB,1995,35,10,KellJi00,15,15
QB,1996,36,7,KellJi00,13,13
QB,1983,24,2,EasoTo00,16,4
QB,1984,25,11,EasoTo00,16,13
QB,1985,26,6,EasoTo00,16,10
QB,1986,27,13,EasoTo00,15,14
