pos,av,g,gs,player_id
RB,9,46,1,AdamGe00
RB,16,50,7,SeweSt00
RB,26,60,34,HampLo00
,0,16,NA,AlleGr21
RB,0,9,0,AlleGr21
,4,32,1,GillOw20
RB,4,32,1,GillOw20
,2,22,11,MoorRi00
FB,2,11,8,MoorRi00
RB,0,11,3,MoorRi00
RB,2,60,6,WolfRo00
RB,46,60,50,WalkHe00
,0,2,NA,McInJo20
RB,0,2,0,McInJo20
FB,1,16,6,KingBr00
RB,0,18,2,KingBr00
,0,13,NA,ReedDa20
RB,0,13,0,ReedDa20
FB,4,16,5,DaveRo00
RB,12,42,4,DaveRo00
,6,39,8,ElleGa00
RB,6,39,8,ElleGa00
,3,3,3,VitaLi20
RB,3,3,3,VitaLi20
,1,3,3,RobiJa21
FB,1,3,3,RobiJa21
,1,3,1,CaldSc20
RB,1,3,1,CaldSc20
RB,6,27,7,AdamCu00
RB,6,44,3,RousLe00
,0,2,NA,CoviJa20
RB,0,2,0,CoviJa20
,1,32,2,WillSc00
RB,1,32,2,WillSc00
RB,6,59,1,SandTh00
RB,11,56,12,SmitJe00
,10,35,4,HuntHe00
RB,10,35,4,HuntHe00
RB,1,47,4,StraSt00
FB,10,17,14,JackBo00
RB,14,21,9,JackBo00
RB,28,58,47,ByarKe00
FB,39,59,57,WillJo00
RB,20,57,15,HarmRo00
RB,6,44,7,DupaRe00
FB,9,11,10,AndeNe00
RB,27,46,33,AndeNe00
,18,40,38,JameGa00
RB,18,40,38,JameGa00
RB,36,60,30,HillDa00
FB,20,52,43,ToneAn00
RB,10,51,21,DaviKe00
FB,24,44,39,RathTo00
RB,2,16,1,RathTo00
Missed season - Injured (achilles/calf),NA,NA,NA,MayeRu00
RB,25,44,33,MayeRu00
RB,15,56,11,PinkAl00
RB,16,46,7,WordBa00
RB,7,57,4,MuelVa00
RB,5,60,5,McCaNa00
,5,41,12,ByruCa00
FB,2,13,8,ByruCa00
RB,3,28,4,ByruCa00
,3,29,13,WallRa00
FB,1,12,9,WallRa00
RB,2,17,4,WallRa00
,10,31,12,FeneGi00
RB,10,31,12,FeneGi00
,2,9,NA,FranJo21
RB,2,9,0,FranJo21
,1,14,2,BadaRi00
RB,1,14,2,BadaRi00
,0,3,NA,ClemTo21
RB,0,3,0,ClemTo21
,1,6,1,CherTo20
RB,1,6,1,CherTo20
RB,0,52,1,FaaoNu00
RB,0,12,0,BakeTo20
RB,7,51,3,TautJu00
,0,19,NA,SandCh21
RB,0,19,0,SandCh21
,4,29,7,BankCh00
RB,3,16,4,BankCh00
,3,20,2,HowaBo00
RB,3,20,2,HowaBo00
,1,15,2,DuprMa00
RB,1,15,2,DuprMa00
,0,3,1,IsomRi20
RB,0,3,1,IsomRi20
FB,11,39,37,HighAl00
RB,1,8,3,HighAl00
FB,11,29,25,FullBr00
RB,3,17,5,FullBr00
RB,8,37,11,DoziDJ00
RB,17,50,28,PalmPa00
FB,12,44,32,VickRo00
RB,0,14,0,VickRo00
RB,8,17,1,BernRo00
TE,4,24,15,BernRo00
RB,5,34,1,FlagTe00
,1,16,2,FlowKe00
RB,1,16,2,FlowKe00
FB,23,50,48,OkoyCh00
FB,8,43,29,MuelJa00
RB,0,14,3,MuelJa00
FB,10,40,37,PerrBo00
RB,2,9,1,PerrBo00
FB,4,16,15,ManoTi00
RB,5,37,9,ManoTi00
FB,11,48,37,SmitSt00
RB,1,7,3,SmitSt00
RB,23,48,15,StraTr00
,4,22,9,SmitTi00
FB,3,14,8,SmitTi00
RB,1,8,1,SmitTi00
FB,4,16,11,AgeeTo00
RB,1,41,0,AgeeTo00
RB,7,38,7,LogaMa00
RB,0,52,1,TillSp00
,0,9,NA,BartSt01
RB,0,9,0,BartSt01
,0,35,3,PortKe20
RB,0,35,3,PortKe20
,1,10,7,BrowTo00
FB,1,9,7,BrowTo00
RB,0,1,0,BrowTo00
FB,10,17,14,JackBo00
RB,14,21,9,JackBo00
,2,6,3,HuntEd20
RB,4,12,6,HuntEd20
FB,9,28,13,FennRi00
RB,6,24,3,FennRi00
,1,2,2,BlouAl20
RB,1,2,2,BlouAl20
,1,3,3,HeimLa20
RB,1,3,3,HeimLa20
,1,5,NA,WrigDa20
RB,1,5,0,WrigDa20
FB,25,48,39,HogeMe00
RB,1,13,0,HogeMe00
,1,3,3,McClDa22
RB,1,3,3,McClDa22
RB,2,17,4,McLeCh20
,0,3,NA,JessTi20
