cfbref_id,pfr_id,av,season,pick,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,g,att,rush_att,srs,sos,off_plus,yards_plus,cmp_plus,td_plus,int_plus,rush_yards_plus,rush_tds_plus,predicted_av
trevor-lawrence-1,LawrTr00,51.02253,2021,  1,21,77,213,4.591181,34.99628,118.5274,4.254556,17.48941,7.092666,40,1138,231,22.013750, 3.226250,151.81268,1597.2485,67.55989,27.347019,-12.680487,-114.86517, 7.19790347,37.78351
justin-fields-2,FielJu00,53.27053,2021, 11,22,74,227,4.450000,33.92340,116.6054,4.162275,18.79227,6.971721,34, 618,260,23.608824, 7.363529,146.45658,1066.7117,46.47935,32.870924, -6.890961, -56.01654, 6.87713859,31.97397
kyle-trask-1,TrasKy00, 3.81442,2021, 64,23,77,236,5.100000,31.50000,113.0000,4.600000,19.62982,7.080000,27, 813,132,15.771111, 5.306667,126.34149,1297.0197,55.65974,24.086639, -6.045973,-547.14240, 1.87100290,29.01415
zach-wilson-3,WilsZa00,24.04647,2021,  2,22,74,214,4.596615,34.66569,117.9352,4.258107,17.58248,7.097321,30, 837,212, 7.056000,-2.207000,118.22961,1393.5319,56.84581, 9.854301, -6.772812,-329.34145, 5.06050360,27.15734
sam-ehlinger-1,EhliSa00, 8.31043,2021,218,22,73,220,4.840000,36.50000,114.0000,4.440000,18.14084,7.150000,46,1476,554,11.039783, 5.136739,119.44077, 431.6730,31.46294,13.424661,-11.813719,-641.19747, 7.06747421,22.45733
davis-mills-1,MillDa02,35.28649,2021, 67,22,75,217,4.820000,32.00000,110.0000,4.400000,17.86166,6.950000,14, 438, 63,-1.880714, 2.390714, 86.61227, 183.2107,19.75283,-6.203359, -3.268513,-200.87628, 0.07659423,18.42434
mac-jones-1,JoneMa05,53.27053,2021, 15,23,74,217,4.720000,32.00000,116.0000,4.390000,17.86166,7.040000,30, 556, 54,25.911000, 6.568333,164.63097,1969.7155,72.96290,25.284666, -7.527459,-203.33102,-0.50725097,14.78021
ian-book-1,BookIa00, 3.81442,2021,133,23,72,211,4.650000,32.50000,115.0000,4.190000,17.30329,6.990000,45,1141,361,16.173333, 4.416889,118.45007, 427.2675,36.10320, 9.334194, -9.813841,-136.38036, 0.12156940,12.89081
