player_id,season,av
LindRy00,2012,-4
LiscRu00,1980,2
LockDr00,2019,15.269585315032248
LockJa00,2011,16
LomaNe00,1981,51
LongCh00,1986,11
LosmJ,2004,NA
LoveJo03,2020,6.54019936354365
LuckAn00,2012,64
LuckOl00,1982,6
LuthEd00,1980,7
LutoJa00,2020,4.9335836176303864
LyncPa00,2016,2
MachMi00,1982,1
MackKy00,1984,3
MaddTo00,1992,2
MahoPa00,2017,75
MajkDo00,1987,36
MallRy00,2011,4
MaloMa00,1980,11
MannEl00,2004,48
MannPe00,1998,76
MannSe00,2015,1
ManuEJ00,2013,11
ManzJo00,2014,4
MariDa00,1983,77
MariMa01,2015,48
MariTo00,1991,3
MartIn00,2006,NA
MartTe00,2000,0
MathBr00,1983,6
MattSt00,1994,1
MaucMa00,2004,1
MayfBa00,2018,51
MayxDe20,1984,0
McCaA,2014,NA
McClBr20,1986,1
McCoCo00,2010,12
McCoJo01,2002,15
McCoLu00,2004,6
McDoCo00,2020,NA
McDoPa00,1980,16
McElGr00,2011,1
McGeSt00,2009,2
McGoAl00,2018,NA
McGwDa00,1991,2
McIvRi20,1984,0
McMaJi00,1982,37
McMaMi00,2001,6
McNaDo00,1999,55
McNaSt00,1995,47
McNeRe00,2006,NA
McNoCa00,1999,8
McSoTr00,2019,1.6792390276169955
MettZa00,2014,1
MillCh00,1987,37
MillDa02,2021,35.28649168680941
MillHu00,1986,3
MillJi00,1994,1
MinsGa00,2019,26.388959550190183
MireRi00,1993,31
MitcSc00,1990,11
MondKe00,2021,3.8144195326242114
MoorSh00,1991,1
MoreMo00,1998,1
MorgJa00,2020,NA
MurrAa00,2014,NA
MurrKy00,2019,67.15999841243594
MusgBi00,1991,0
NaglBr00,1991,5
NallCr00,2002,1
NassRy00,2013,0
NavaJo00,2004,0
NewtCa00,2011,84
NorrDa20,1986,1
NorsMi20,1986,NA
NugeTe20,1984,0
NullKe00,2009,1
NussDo00,1994,2
OBriKe00,1983,43
OConKe00,2008,0
ODonNe00,1990,35
OladCh00,2022,NA
OrloDa00,2005,4
OrtoKy00,2005,22
OSulJ,2002,NA
OsweBr00,2012,10
PageMi00,1982,28
PainCu00,2009,2
PalmCa00,2003,52
PalmJe00,2001,1
PalmJo20,2007,0
PeasBr00,1987,2
PeetRo00,1989,35
PellSt00,1984,23
PennCh01,2000,29
PeteNa00,2017,2
PettBr01,2015,4
PickCo00,2004,1
PickKe00,2022,35.452386214370485
PikeTo00,2010,0
PlumJa00,1997,40
PondCh00,2011,23
PresDa01,2016,63
PurdBr00,2022,31.60864087214904
QuinBr00,2007,3
QuinJo00,1998,3
RagoDa00,2003,1
RamsPa00,2002,14
RamsTo00,1983,4
RattTi00,2000,9
RedmCh00,2000,3
ReedMa20,1981,0
ReicFr00,1985,3
RenfSe00,2013,0
RichBu00,1992,3
RichWa00,1997,0
RiddDe00,2022,20.0774048454847
RivePh00,2004,48
RobiZa00,2010,NA
RodgAa00,2005,35
RoetBe00,2004,59
RoseJo01,2018,3
RoseSa00,2001,2
RoweJe00,2007,NA
RublTJ00,1992,5
RudoJa00,2016,0
RudoMa00,2018,5
RussJa00,2007,6
RyanMa00,2008,73
RypiMa00,1986,24
SaccTo00,1992,0
SancMa00,2009,28
SavaTo00,2014,3
SchaMa00,2004,22
SchlAr00,1982,4
SchoTu00,1980,9
SchrJa00,1984,32
SecuSc00,1988,2
ShieJo20,1985,NA
ShulHe00,1994,6
SiemTr00,2015,13
SimmCh00,2003,8
SkelJo00,2010,4
