season,school_name,srs,sos,off_plus,def_plus
1960,washington,14.37,1.46,156.04942413060493,64.55621650273866
1960,southern-california,2.64,7.94,60.0190092810019,101.16025678779668
1960,ucla,13.21,4.41,110.56133288605614,55.904352435361325
1960,california,-5.42,4.68,58.755451190875554,129.77796101066022
1960,stanford,-11.52,3.68,70.12747400201275,169.04411331644974
1960,duke,9.17,4.26,99.18931007491894,69.21491253901878
1960,north-carolina-state,-0.15,-4.25,93.50329866935033,75.20466458566464
1960,maryland,-0.32,-2.32,108.03421670580343,109.14659284999115
1960,clemson,-0.16,-6.16,124.46047187744605,82.52547264267625
1960,south-carolina,-5.69,-0.59,73.91814827239182,123.78820896401439
1960,north-carolina,-6.55,-1.25,73.91814827239182,107.15000883444256
1960,wake-forest,-12.21,-2.41,75.18170636251817,143.08852111431767
1960,virginia,-23.05,-3.55,65.07324164150732,220.95529772071384
1960,missouri,21.88,6.15,169.31678407693167,56.5698804405442
1960,kansas,19.49,9.29,138.35961086883597,59.231992461275695
1960,colorado,9.12,7.82,88.4490663088449,88.5152246893221
1960,iowa-state,6.47,2.87,116.87912333668791,90.51180870487072
1960,oklahoma,5.9,10,85.9219501285922,105.15342481889392
1960,nebraska,4.9,10.5,60.0190092810019,109.14659284999115
1960,oklahoma-state,5.51,7.51,64.44146259644414,83.85652865304199
1960,kansas-state,-7.97,8.53,49.278765514927876,210.30684963778785
1960,minnesota,21.49,10.99,144.04562227440456,58.566464456092824
1960,iowa,26.51,14.95,164.26255171642626,79.86336062194475
1960,ohio-state,22.96,11.4,146.57273845465727,66.5528005182873
1960,michigan-state,19.69,12.25,135.20071564352008,87.18416867895635
1960,illinois,13.82,11.49,98.55753102985575,86.51864067377348
1960,michigan,18.44,12.88,93.50329866935033,61.894104482007194
1960,northwestern,15.46,12.79,75.18170636251817,75.87019259084751
1960,purdue,17.66,14.1,149.09985463490997,120.46056893810001
1960,wisconsin,8.51,12.18,103.61176339036116,135.10218505212322
1960,indiana,-1.76,13.46,48.6469864698647,179.6925613993757
1960,new-mexico-state,11.26,-7.83,226.17689813261765,68.54938453383592
1960,arizona,5.1,-2,147.20451749972045,101.16025678779668
1960,arizona-state,1.84,-6.46,140.88672704908868,79.86336062194475
1960,texas-el-paso,-7.89,-5.69,105.50710052555071,117.13292891218565
1960,west-texas-am,-10.29,-5.99,90.97618248909762,119.12951292773424
1960,hardin-simmons,-25.78,-6.48,42.9609750642961,204.98262559632485
1960,rutgers,0.13,-13.42,157.94476126579448,51.24565639908121
1960,navy,12.05,-0.22,150.36341272503634,62.55963248719006
1960,memphis,4.27,-8.93,191.4290506541429,56.5698804405442
1960,detroit-mercy,-1.87,-7.98,126.98758805769877,100.49472878261382
1960,syracuse,11.36,1.91,142.7820641842782,54.573296424995576
1960,penn-state,14.98,4.68,144.04562227440456,75.20466458566464
1960,oregon,6.59,0.5,118.14268142681426,78.53230461157901
1960,army,8.28,-0.12,140.2549480040255,63.22516049237293
1960,oregon-state,6.79,1.89,124.46047187744605,96.50156075151658
1960,holy-cross,-1.29,-6.89,108.6659957508666,79.19783261676189
1960,houston,3.65,1.75,89.08084535390809,99.82920077743094
1960,miami-fl,5.74,3.34,102.97998434529799,95.17050474115084
1960,san-jose-state,-8.71,-8.26,122.5651347422565,130.4434890158431
1960,pittsburgh,10.36,7.66,84.65839203846583,51.24565639908121
1960,xavier,-11.92,-10.42,77.70882254277087,106.48448082925967
1960,washington-state,-1.32,-3.82,132.67359946326735,107.15000883444256
1960,air-force,0.1,2.8,92.87151962428715,118.46398492255139
1960,boston-university,-9.5,-5.5,82.13127585821313,114.47081689145415
1960,pacific,-13.68,-5.58,88.4490663088449,185.01678544083867
1960,boston-college,-4.14,-1.94,90.97618248909762,98.4981447670652
1960,florida-state,-4.22,-1.02,70.12747400201275,90.51180870487072
1960,marquette,-15.16,-5.38,70.75925304707593,149.07827316096353
1960,colgate,-16.53,-7.31,111.19311193111932,197.66181753931326
1960,notre-dame,2.51,9.81,70.12747400201275,125.11926497438012
1960,villanova,-16.19,-6.29,51.80588169518058,149.7438011661464
1960,dayton,-22.04,-10.64,46.751649334675164,134.43665704694033
1960,idaho,-14.78,-0.38,65.7050206865705,170.37516932681547
1960,yale,6.2,-12.58,177.529911662753,53.907768419812705
1960,princeton,-2.03,-10.03,162.9989936262999,98.4981447670652
1960,dartmouth,-5.88,-9.54,68.8639159118864,48.58354437834972
1960,harvard,-10.68,-9.01,63.17790450631779,87.84969668413923
1960,columbia,-13.31,-7.09,88.4490663088449,141.09193709876905
1960,pennsylvania,-12.44,-7.33,73.28636922732863,110.47764886035692
1960,brown,-18.6,-9.82,70.12747400201275,157.06460922315802
1960,cornell,-19.2,-9.76,54.96477692049647,123.78820896401439
1960,wichita-state,-2.96,-11.06,133.30537850833053,96.50156075151658
1960,tulsa,-4.16,-0.76,106.77065861567705,153.07144119206077
1960,cincinnati,-13.95,-11.15,71.3910320921391,99.82920077743094
1960,north-texas,-16.74,-7.96,75.18170636251817,153.73696919724364
1960,mississippi,21.64,6.1,161.10365649111037,42.59379233170387
1960,florida,15.33,7.42,90.34440344403444,51.91118440426409
1960,alabama,14.1,4.46,104.87532148048754,33.94192826432651
1960,auburn,14.35,6.75,97.92575198479257,53.24224041462983
1960,tennessee,11.64,3.94,132.04182041820417,52.57671240944696
1960,georgia,10.45,6.15,109.92955384099294,78.53230461157901
1960,georgia-tech,12.37,11.97,74.54992731745499,64.55621650273866
1960,louisiana-state,11.2,7.3,66.33679973163368,33.27640025914365
