rk,player,g,att,yds,avg,td,rec,yds_2,avg_2,td_2,plays,yds_3,avg_3,td_3,school,player_link,player_id,season
4,Jaymes Bryant,11,52,245,4.7,2,,,,,52,245,4.7,2,ohio-state,/cfb/players/jaymes-bryant-1,jaymes-bryant-1,1988
5,Scottie Graham,11,38,164,4.3,2,7,81,11.6,0,45,245,5.4,2,ohio-state,/cfb/players/scottie-graham-1,scottie-graham-1,1988
6,Marc Hicks,11,29,131,4.5,0,14,201,14.4,1,43,332,7.7,1,ohio-state,/cfb/players/marc-hicks-2,marc-hicks-2,1988
7,Vince Workman,11,16,61,3.8,0,1,3,3.0,0,17,64,3.8,0,ohio-state,/cfb/players/vince-workman-1,vince-workman-1,1988
8,John Spencer,11,8,32,4.0,0,5,36,7.2,0,13,68,5.2,0,ohio-state,/cfb/players/john-spencer-1,john-spencer-1,1988
9,John Wagoner,11,2,-1,-0.5,0,,,,,2,-1,-0.5,0,ohio-state,/cfb/players/john-wagoner-1,john-wagoner-1,1988
10,Jeff Bohlman,11,2,-46,-23.0,0,,,,,2,-46,-23.0,0,ohio-state,/cfb/players/jeff-bohlman-1,jeff-bohlman-1,1988
11,Bobby Olive,11,1,9,9.0,0,25,370,14.8,2,26,379,14.6,2,ohio-state,/cfb/players/bobby-olive-1,bobby-olive-1,1988
12,Jeff Graham,11,1,1,1.0,0,27,438,16.2,2,28,439,15.7,2,ohio-state,/cfb/players/jeff-graham-2,jeff-graham-2,1988
13,Jeff Ellis,11,,,,,40,492,12.3,2,40,492,12.3,2,ohio-state,/cfb/players/jeff-ellis-1,jeff-ellis-1,1988
14,Bernard Edwards,11,,,,,11,170,15.5,1,11,170,15.5,1,ohio-state,/cfb/players/bernard-edwards-1,bernard-edwards-1,1988
15,Wes Siegenthaler,11,,,,,3,71,23.7,0,3,71,23.7,0,ohio-state,/cfb/players/wes-siegenthaler-1,wes-siegenthaler-1,1988
16,Jay Koch,11,,,,,1,7,7.0,0,1,7,7.0,0,ohio-state,/cfb/players/jay-koch-1,jay-koch-1,1988
17,Jim Palmer,11,,,,,1,6,6.0,0,1,6,6.0,0,ohio-state,/cfb/players/jim-palmer-1,jim-palmer-1,1988
1,Carlos Snow,12,190,990,5.2,11,16,184,11.5,2,206,1174,5.7,13,ohio-state,/cfb/players/carlos-snow-1,carlos-snow-1,1989
2,Scottie Graham,12,183,977,5.3,10,11,115,10.5,1,194,1092,5.6,11,ohio-state,/cfb/players/scottie-graham-1,scottie-graham-1,1989
3,Dante Lee,12,83,503,6.1,6,4,47,11.8,0,87,550,6.3,6,ohio-state,/cfb/players/dante-lee-1,dante-lee-1,1989
4,Greg Frey,12,51,-92,-1.8,2,,,,,51,-92,-1.8,2,ohio-state,/cfb/players/greg-frey-1,greg-frey-1,1989
5,Jaymes Bryant,12,34,186,5.5,1,4,69,17.3,1,38,255,6.7,2,ohio-state,/cfb/players/jaymes-bryant-1,jaymes-bryant-1,1989
6,Tyrone Harrison,12,15,57,3.8,0,1,10,10.0,0,16,67,4.2,0,ohio-state,/cfb/players/tyrone-harrison-1,tyrone-harrison-1,1989
7,Kirk Herbstreit,8,10,6,0.6,0,,,,,10,6,0.6,0,ohio-state,/cfb/players/kirk-herbstreit-1,kirk-herbstreit-1,1989
8,Jeff Graham,12,3,41,13.7,0,32,608,19.0,3,35,649,18.5,3,ohio-state,/cfb/players/jeff-graham-2,jeff-graham-2,1989
9,Zack Dumas,12,2,44,22.0,0,,,,,2,44,22.0,0,ohio-state,/cfb/players/zack-dumas-1,zack-dumas-1,1989
10,Jim Palmer,12,,,,,28,308,11.0,3,28,308,11.0,3,ohio-state,/cfb/players/jim-palmer-1,jim-palmer-1,1989
11,Bobby Olive,12,,,,,23,379,16.5,1,23,379,16.5,1,ohio-state,/cfb/players/bobby-olive-1,bobby-olive-1,1989
12,Bernard Edwards,12,,,,,10,130,13.0,1,10,130,13.0,1,ohio-state,/cfb/players/bernard-edwards-1,bernard-edwards-1,1989
13,Greg Beatty,12,,,,,9,159,17.7,0,9,159,17.7,0,ohio-state,/cfb/players/greg-beatty-1,greg-beatty-1,1989
14,Brian Stablein,12,,,,,7,104,14.9,1,7,104,14.9,1,ohio-state,/cfb/players/brian-stablein-1,brian-stablein-1,1989
15,Jeff Ellis,12,,,,,2,39,19.5,0,2,39,19.5,0,ohio-state,/cfb/players/jeff-ellis-1,jeff-ellis-1,1989
16,Rich Huffman,12,,,,,1,28,28.0,0,1,28,28.0,0,ohio-state,/cfb/players/rich-huffman-1,rich-huffman-1,1989
1,Robert Smith,12,177,1126,6.4,8,10,112,11.2,0,187,1238,6.6,8,ohio-state,/cfb/players/robert-smith-6,robert-smith-6,1990
2,Raymont Harris,12,119,519,4.4,8,7,42,6.0,1,126,561,4.5,9,ohio-state,/cfb/players/raymont-harris-1,raymont-harris-1,1990
3,Scottie Graham,12,73,253,3.5,2,3,15,5.0,0,76,268,3.5,2,ohio-state,/cfb/players/scottie-graham-1,scottie-graham-1,1990
4,Butler By'not'e,8,53,239,4.5,1,4,8,2.0,0,57,247,4.3,1,ohio-state,/cfb/players/butler-bynote-1,butler-bynote-1,1990
5,Greg Frey,12,37,-97,-2.6,2,1,60,60.0,1,38,-37,-1.0,3,ohio-state,/cfb/players/greg-frey-1,greg-frey-1,1990
6,Dante Lee,12,14,53,3.8,1,1,9,9.0,0,15,62,4.1,1,ohio-state,/cfb/players/dante-lee-1,dante-lee-1,1990
7,William Houston,12,9,40,4.4,0,,,,,9,40,4.4,0,ohio-state,/cfb/players/william-houston-1,william-houston-1,1990
8,Tyrone Harrison,12,9,35,3.9,0,,,,,9,35,3.9,0,ohio-state,/cfb/players/tyrone-harrison-1,tyrone-harrison-1,1990
