rk,player,g,att,yds,avg,td,rec,yds_2,avg_2,td_2,plays,yds_3,avg_3,td_3,school,player_link,player_id,season
12,Matt Rodgers,2,1,1,1.0,0,,,,,1,1,1.0,0,akron,/cfb/players/matt-rodgers-1,matt-rodgers-1,2008
13,Deryn Bowser,12,,,,,64,785,12.3,4,64,785,12.3,4,akron,/cfb/players/deryn-bowser-1,deryn-bowser-1,2008
14,Alphonso Owen,12,,,,,15,173,11.5,1,15,173,11.5,1,akron,/cfb/players/alphonso-owen-1,alphonso-owen-1,2008
15,Merce Poindexter,12,,,,,12,145,12.1,4,12,145,12.1,4,akron,/cfb/players/merce-poindexter-1,merce-poindexter-1,2008
16,Brandon Williams,6,,,,,4,57,14.3,0,4,57,14.3,0,akron,/cfb/players/brandon-williams-4,brandon-williams-4,2008
1,Broderick Alexander,5,59,198,3.4,0,2,3,1.5,0,61,201,3.3,0,akron,/cfb/players/broderick-alexander-1,broderick-alexander-1,2009
2,Alex Allen,12,59,188,3.2,5,6,40,6.7,0,65,228,3.5,5,akron,/cfb/players/alex-allen-1,alex-allen-1,2009
3,Joe Tuzze,9,55,244,4.4,2,5,29,5.8,0,60,273,4.6,2,akron,/cfb/players/joe-tuzze-1,joe-tuzze-1,2009
4,Patrick Nicely,8,42,46,1.1,0,,,,,42,46,1.1,0,akron,/cfb/players/patrick-nicely-1,patrick-nicely-1,2009
5,Matt Rodgers,5,40,156,3.9,3,,,,,40,156,3.9,3,akron,/cfb/players/matt-rodgers-1,matt-rodgers-1,2009
6,Devoe Torrence,7,30,146,4.9,0,5,8,1.6,0,35,154,4.4,0,akron,/cfb/players/devoe-torrence-1,devoe-torrence-1,2009
7,Norman Shuford,8,28,57,2.0,0,2,17,8.5,0,30,74,2.5,0,akron,/cfb/players/norman-shuford-1,norman-shuford-1,2009
8,Dale Martin,8,25,167,6.7,0,8,37,4.6,0,33,204,6.2,0,akron,/cfb/players/dale-martin-1,dale-martin-1,2009
9,Nate Burney,5,14,47,3.4,0,5,40,8.0,0,19,87,4.6,0,akron,/cfb/players/nate-burney-1,nate-burney-1,2009
10,Chris Jacquemain,2,10,16,1.6,0,,,,,10,16,1.6,0,akron,/cfb/players/chris-jacquemain-1,chris-jacquemain-1,2009
11,Dashan Miller,12,8,108,13.5,1,16,257,16.1,0,24,365,15.2,1,akron,/cfb/players/dashan-miller-1,dashan-miller-1,2009
12,Jeremy Bruce,12,8,33,4.1,0,29,219,7.6,1,37,252,6.8,1,akron,/cfb/players/jeremy-bruce-1,jeremy-bruce-1,2009
13,Andre Jones,12,6,34,5.7,1,33,553,16.8,4,39,587,15.1,5,akron,/cfb/players/andre-jones-2,andre-jones-2,2009
14,Levon Morefield,5,2,8,4.0,0,,,,,2,8,4.0,0,akron,/cfb/players/levon-morefield-1,levon-morefield-1,2009
15,Jared Wackerly,3,1,2,2.0,0,,,,,1,2,2.0,0,akron,/cfb/players/jared-wackerly-1,jared-wackerly-1,2009
16,Jeremy Lafrance,12,,,,,43,520,12.1,2,43,520,12.1,2,akron,/cfb/players/jeremy-lafrance-1,jeremy-lafrance-1,2009
17,Deryn Bowser,6,,,,,21,307,14.6,5,21,307,14.6,5,akron,/cfb/players/deryn-bowser-1,deryn-bowser-1,2009
18,Anthony Meriwether,12,,,,,5,67,13.4,0,5,67,13.4,0,akron,/cfb/players/anthony-meriwether-1,anthony-meriwether-1,2009
19,Nadir Brown,9,,,,,5,64,12.8,0,5,64,12.8,0,akron,/cfb/players/nadir-brown-1,nadir-brown-1,2009
20,Kyle Weber,12,,,,,4,26,6.5,0,4,26,6.5,0,akron,/cfb/players/kyle-weber-1,kyle-weber-1,2009
21,Curtis Brown,5,,,,,1,3,3.0,0,1,3,3.0,0,akron,/cfb/players/curtis-brown-1,curtis-brown-1,2009
1,Alex Allen,12,186,877,4.7,8,17,115,6.8,0,203,992,4.9,8,akron,/cfb/players/alex-allen-1,alex-allen-1,2010
2,Nate Burney,12,109,467,4.3,0,7,33,4.7,0,116,500,4.3,0,akron,/cfb/players/nate-burney-1,nate-burney-1,2010
3,Patrick Nicely,12,61,-125,-2.0,1,1,13,13.0,0,62,-112,-1.8,1,akron,/cfb/players/patrick-nicely-1,patrick-nicely-1,2010
4,Giorgio Bowers,5,8,27,3.4,0,,,,,8,27,3.4,0,akron,/cfb/players/giorgio-bowers-1,giorgio-bowers-1,2010
5,Gary Pride,12,7,44,6.3,0,22,182,8.3,1,29,226,7.8,1,akron,/cfb/players/gary-pride-1,gary-pride-1,2010
6,Dylan Potts,2,4,20,5.0,0,,,,,4,20,5.0,0,akron,/cfb/players/dylan-potts-1,dylan-potts-1,2010
7,Jalil Carter,12,2,28,14.0,0,30,412,13.7,2,32,440,13.8,2,akron,/cfb/players/jalil-carter-1,jalil-carter-1,2010
8,Matt Rodgers,3,2,24,12.0,0,,,,,2,24,12.0,0,akron,/cfb/players/matt-rodgers-1,matt-rodgers-1,2010
9,Austin Bailey,12,2,4,2.0,0,7,51,7.3,1,9,55,6.1,1,akron,/cfb/players/austin-bailey-1,austin-bailey-1,2010
10,Jeremy Lafrance,10,1,10,10.0,1,43,534,12.4,6,44,544,12.4,7,akron,/cfb/players/jeremy-lafrance-1,jeremy-lafrance-1,2010
11,Antoine Russell,9,1,7,7.0,0,13,221,17.0,1,14,228,16.3,1,akron,/cfb/players/antoine-russell-1,antoine-russell-1,2010
12,Dale Martin,5,1,-4,-4.0,0,,,,,1,-4,-4.0,0,akron,/cfb/players/dale-martin-1,dale-martin-1,2010
13,Richard Hall,8,,,,,16,149,9.3,1,16,149,9.3,1,akron,/cfb/players/richard-hall-2,richard-hall-2,2010
14,Keith Sconiers,10,,,,,9,75,8.3,0,9,75,8.3,0,akron,/cfb/players/keith-sconiers-1,keith-sconiers-1,2010
15,Anthony Meriwether,11,,,,,5,27,5.4,0,5,27,5.4,0,akron,/cfb/players/anthony-meriwether-1,anthony-meriwether-1,2010
16,Rhyne Ladrach,7,,,,,3,31,10.3,0,3,31,10.3,0,akron,/cfb/players/rhyne-ladrach-1,rhyne-ladrach-1,2010
17,Jerrod Dillard,10,,,,,1,18,18.0,0,1,18,18.0,0,akron,/cfb/players/jerrod-dillard-1,jerrod-dillard-1,2010
1,Jawon Chisholm,12,218,961,4.4,5,12,84,7.0,0,230,1045,4.5,5,akron,/cfb/players/jawon-chisholm-1,jawon-chisholm-1,2011
