rk,player,g,att,yds,avg,td,rec,yds_2,avg_2,td_2,plays,yds_3,avg_3,td_3,school,player_link,player_id,season
9,Bruce Natson,12,4,6,1.5,0,59,837,14.2,10,63,843,13.4,10,akron,/cfb/players/bruce-natson-1,bruce-natson-1,2016
10,Nick Gasser,12,1,-16,-16.0,0,,,,,1,-16,-16.0,0,akron,/cfb/players/nick-gasser-1,nick-gasser-1,2016
11,Jerome Lane,12,,,,,62,1018,16.4,6,62,1018,16.4,6,akron,/cfb/players/jerome-lane-1,jerome-lane-1,2016
12,Austin Wolf,12,,,,,36,550,15.3,5,36,550,15.3,5,akron,/cfb/players/austin-wolf-1,austin-wolf-1,2016
13,A.J. Coney,10,,,,,15,173,11.5,1,15,173,11.5,1,akron,/cfb/players/aj-coney-1,aj-coney-1,2016
14,Anthony Young,2,,,,,8,59,7.4,0,8,59,7.4,0,akron,/cfb/players/anthony-young-4,anthony-young-4,2016
15,Kwadarrius Smith,7,,,,,6,147,24.5,1,6,147,24.5,1,akron,/cfb/players/kwadarrius-smith-1,kwadarrius-smith-1,2016
16,Kevin Gladney,2,,,,,3,25,8.3,0,3,25,8.3,0,akron,/cfb/players/kevin-gladney-1,kevin-gladney-1,2016
17,Anthony Lauro,2,,,,,3,18,6.0,0,3,18,6.0,0,akron,/cfb/players/anthony-lauro-1,anthony-lauro-1,2016
18,Newman Williams,1,,,,,2,16,8.0,0,2,16,8.0,0,akron,/cfb/players/newman-williams-1,newman-williams-1,2016
1,Manny Morgan,13,116,434,3.7,4,12,58,4.8,0,128,492,3.8,4,akron,/cfb/players/manny-morgan-1,manny-morgan-1,2017
2,Kato Nelson,10,95,198,2.1,1,,,,,95,198,2.1,1,akron,/cfb/players/kato-nelson-1,kato-nelson-1,2017
3,Van Edwards Jr.,13,94,348,3.7,2,8,33,4.1,0,102,381,3.7,2,akron,/cfb/players/van-edwards-jr-1,van-edwards-jr-1,2017
4,Warren Ball,5,75,332,4.4,4,7,18,2.6,1,82,350,4.3,5,akron,/cfb/players/warren-ball-1,warren-ball-1,2017
5,Tommy Woodson,10,43,-25,-0.6,1,,,,,43,-25,-0.6,1,akron,/cfb/players/tommy-woodson-1,tommy-woodson-1,2017
6,Deltron Sands,8,25,173,6.9,2,3,2,0.7,0,28,175,6.3,2,akron,/cfb/players/deltron-sands-1,deltron-sands-1,2017
7,Chuck Turfe,6,7,31,4.4,0,,,,,7,31,4.4,0,akron,/cfb/players/chuck-turfe-1,chuck-turfe-1,2017
8,Andre Williams,5,1,7,7.0,0,4,70,17.5,0,5,77,15.4,0,akron,/cfb/players/andre-williams-5,andre-williams-5,2017
9,Robbie Kelley,6,1,-10,-10.0,0,,,,,1,-10,-10.0,0,akron,/cfb/players/robbie-kelley-1,robbie-kelley-1,2017
10,Tra'Von Chapman,14,,,,,53,475,9.0,2,53,475,9.0,2,akron,/cfb/players/travon-chapman-1,travon-chapman-1,2017
11,A.J. Coney,14,,,,,43,551,12.8,3,43,551,12.8,3,akron,/cfb/players/aj-coney-1,aj-coney-1,2017
12,Kwadarrius Smith,11,,,,,34,726,21.4,7,34,726,21.4,7,akron,/cfb/players/kwadarrius-smith-1,kwadarrius-smith-1,2017
13,Austin Wolf,10,,,,,33,476,14.4,5,33,476,14.4,5,akron,/cfb/players/austin-wolf-1,austin-wolf-1,2017
14,Fransohn Bickley,6,,,,,12,155,12.9,1,12,155,12.9,1,akron,/cfb/players/fransohn-bickley-1,fransohn-bickley-1,2017
15,Kevin Gladney,6,,,,,10,116,11.6,1,10,116,11.6,1,akron,/cfb/players/kevin-gladney-1,kevin-gladney-1,2017
16,Kobie Booker,7,,,,,8,126,15.8,4,8,126,15.8,4,akron,/cfb/players/kobie-booker-1,kobie-booker-1,2017
17,Anthony Young,4,,,,,7,60,8.6,0,7,60,8.6,0,akron,/cfb/players/anthony-young-4,anthony-young-4,2017
18,Nate Stewart,3,,,,,3,45,15.0,0,3,45,15.0,0,akron,/cfb/players/nate-stewart-1,nate-stewart-1,2017
19,Brandon Junk,2,,,,,2,14,7.0,0,2,14,7.0,0,akron,/cfb/players/brandon-junk-1,brandon-junk-1,2017
20,Newman Williams,2,,,,,2,-1,-0.5,0,2,-1,-0.5,0,akron,/cfb/players/newman-williams-1,newman-williams-1,2017
21,Dustin Burkhart,1,,,,,1,25,25.0,0,1,25,25.0,0,akron,/cfb/players/dustin-burkhart-1,dustin-burkhart-1,2017
1,Kato Nelson,10,109,121,1.1,0,,,,,109,121,1.1,0,akron,/cfb/players/kato-nelson-1,kato-nelson-1,2019
2,Brandon Lee,11,61,179,2.9,0,15,113,7.5,0,76,292,3.8,0,akron,/cfb/players/brandon-lee-2,brandon-lee-2,2019
3,Peter Hayes-Patrick,7,41,138,3.4,0,2,18,9.0,0,43,156,3.6,0,akron,/cfb/players/peter-hayes-patrick-1,peter-hayes-patrick-1,2019
4,Michiah Burton,10,38,117,3.1,1,5,37,7.4,0,43,154,3.6,1,akron,/cfb/players/michiah-burton-1,michiah-burton-1,2019
5,Deltron Sands,6,35,91,2.6,1,6,27,4.5,0,41,118,2.9,1,akron,/cfb/players/deltron-sands-1,deltron-sands-1,2019
6,Zach Gibson,4,14,-72,-5.1,0,,,,,14,-72,-5.1,0,akron,/cfb/players/zach-gibson-1,zach-gibson-1,2019
7,Decavilon Reese,2,10,43,4.3,0,1,4,4.0,0,11,47,4.3,0,akron,/cfb/players/decavilon-reese-1,decavilon-reese-1,2019
8,Robbie Kelley,7,7,-5,-0.7,0,,,,,7,-5,-0.7,0,akron,/cfb/players/robbie-kelley-1,robbie-kelley-1,2019
9,Michael Mathison,9,2,10,5.0,0,31,243,7.8,0,33,253,7.7,0,akron,/cfb/players/michael-mathison-1,michael-mathison-1,2019
10,T.J. Deshields,3,2,4,2.0,0,,,,,2,4,2.0,0,akron,/cfb/players/tj-deshields-1,tj-deshields-1,2019
11,Boogie Knight,12,1,3,3.0,0,31,430,13.9,0,32,433,13.5,0,akron,/cfb/players/boogie-knight-1,boogie-knight-1,2019
12,Maverick Wolfley,3,1,2,2.0,0,5,68,13.6,2,6,70,11.7,2,akron,/cfb/players/maverick-wolfley-1,maverick-wolfley-1,2019
13,Julian Hicks,8,1,1,1.0,0,32,212,6.6,2,33,213,6.5,2,akron,/cfb/players/julian-hicks-1,julian-hicks-1,2019
14,Dustin Burkhart,3,1,1,1.0,0,15,320,21.3,1,16,321,20.1,1,akron,/cfb/players/dustin-burkhart-1,dustin-burkhart-1,2019
15,Nate Stewart,10,,,,,37,529,14.3,3,37,529,14.3,3,akron,/cfb/players/nate-stewart-1,nate-stewart-1,2019
16,Timothy Scippio,8,,,,,12,221,18.4,3,12,221,18.4,3,akron,/cfb/players/timothy-scippio-1,timothy-scippio-1,2019
17,Andre Williams,4,,,,,10,96,9.6,0,10,96,9.6,0,akron,/cfb/players/andre-williams-5,andre-williams-5,2019
18,Darryl Long,2,,,,,1,15,15.0,0,1,15,15.0,0,akron,/cfb/players/darryl-long-1,darryl-long-1,2019
19,Nick Johns,3,,,,,1,6,6.0,0,1,6,6.0,0,akron,/cfb/players/nick-johns-1,nick-johns-1,2019
20,Brandon Junk,2,,,,,1,3,3.0,1,1,3,3.0,1,akron,/cfb/players/brandon-junk-1,brandon-junk-1,2019
1,Teon Dollard,6,112,666,5.9,6,10,29,2.9,0,122,695,5.7,6,akron,/cfb/players/teon-dollard-1,teon-dollard-1,2020
2,Zach Gibson,6,48,-44,-0.9,0,,,,,48,-44,-0.9,0,akron,/cfb/players/zach-gibson-1,zach-gibson-1,2020
3,Boogie Knight,6,39,194,5.0,0,3,25,8.3,0,42,219,5.2,0,akron,/cfb/players/boogie-knight-1,boogie-knight-1,2020
4,Jonzell Norrils,2,7,30,4.3,1,2,32,16.0,0,9,62,6.9,1,akron,/cfb/players/jonzell-norrils-1,jonzell-norrils-1,2020
5,MyJaden Horton,3,3,4,1.3,0,,,,,3,4,1.3,0,akron,/cfb/players/myjaden-horton-1,myjaden-horton-1,2020
6,T.J. Deshields,2,2,-4,-2.0,0,,,,,2,-4,-2.0,0,akron,/cfb/players/tj-deshields-1,tj-deshields-1,2020
7,Michael Mathison,4,1,3,3.0,0,11,111,10.1,2,12,114,9.5,2,akron,/cfb/players/michael-mathison-1,michael-mathison-1,2020
8,Nate Stewart,6,,,,,17,217,12.8,1,17,217,12.8,1,akron,/cfb/players/nate-stewart-1,nate-stewart-1,2020
9,George Qualls Jr.,5,,,,,12,160,13.3,1,12,160,13.3,1,akron,/cfb/players/george-qualls-jr-1,george-qualls-jr-1,2020
10,Anthony Grimes,5,,,,,12,130,10.8,0,12,130,10.8,0,akron,/cfb/players/anthony-grimes-1,anthony-grimes-1,2020
11,Tristian Brank,3,,,,,5,54,10.8,0,5,54,10.8,0,akron,/cfb/players/tristian-brank-1,tristian-brank-1,2020
12,Shawn Naim,3,,,,,5,28,5.6,0,5,28,5.6,0,akron,/cfb/players/shawn-naim-1,shawn-naim-1,2020
13,Maverick Wolfley,2,,,,,2,19,9.5,0,2,19,9.5,0,akron,/cfb/players/maverick-wolfley-1,maverick-wolfley-1,2020
14,Julian Hicks,2,,,,,2,18,9.0,0,2,18,9.0,0,akron,/cfb/players/julian-hicks-1,julian-hicks-1,2020
15,Timothy Scippio,1,,,,,1,14,14.0,0,1,14,14.0,0,akron,/cfb/players/timothy-scippio-1,timothy-scippio-1,2020
16,Marquis Whitmire,1,,,,,1,1,1.0,0,1,1,1.0,0,akron,/cfb/players/marquis-whitmire-1,marquis-whitmire-1,2020
1,Jonzell Norrils,10,118,573,4.9,3,17,153,9.0,3,135,726,5.4,6,akron,/cfb/players/jonzell-norrils-1,jonzell-norrils-1,2021
2,Demarcus Irons Jr.,8,91,296,3.3,2,,,,,91,296,3.3,2,akron,/cfb/players/demarcus-irons-jr-1,demarcus-irons-jr-1,2021
3,Blake Hester,8,65,274,4.2,2,9,36,4.0,0,74,310,4.2,2,akron,/cfb/players/blake-hester-1,blake-hester-1,2021
4,Anthony Williams Jr.,10,56,207,3.7,1,7,74,10.6,0,63,281,4.5,1,akron,/cfb/players/anthony-williams-jr-1,anthony-williams-jr-1,2021
5,Kato Nelson,5,47,78,1.7,0,,,,,47,78,1.7,0,akron,/cfb/players/kato-nelson-1,kato-nelson-1,2021
6,Zach Gibson,7,43,57,1.3,0,,,,,43,57,1.3,0,akron,/cfb/players/zach-gibson-1,zach-gibson-1,2021
7,Oran Singleton Jr.,7,3,14,4.7,0,11,112,10.2,1,14,126,9.0,1,akron,/cfb/players/oran-singleton-jr-1,oran-singleton-jr-1,2021
8,Josh Bryant,2,2,6,3.0,0,,,,,2,6,3.0,0,akron,/cfb/players/josh-bryant-2,josh-bryant-2,2021
9,Michael Mathison,11,1,5,5.0,0,56,706,12.6,3,57,711,12.5,3,akron,/cfb/players/michael-mathison-1,michael-mathison-1,2021
10,Tristian Brank,11,1,0,0.0,0,25,269,10.8,3,26,269,10.3,3,akron,/cfb/players/tristian-brank-1,tristian-brank-1,2021
11,Konata Mumpfield,12,,,,,63,751,11.9,8,63,751,11.9,8,akron,/cfb/players/konata-mumpfield-1,konata-mumpfield-1,2021
12,Anthony Grimes,10,,,,,14,133,9.5,1,14,133,9.5,1,akron,/cfb/players/anthony-grimes-1,anthony-grimes-1,2021
13,George Qualls Jr.,5,,,,,10,171,17.1,0,10,171,17.1,0,akron,/cfb/players/george-qualls-jr-1,george-qualls-jr-1,2021
14,Andre Williams,7,,,,,10,161,16.1,1,10,161,16.1,1,akron,/cfb/players/andre-williams-5,andre-williams-5,2021
15,Nik Ognenovic,3,,,,,2,38,19.0,1,2,38,19.0,1,akron,/cfb/players/nik-ognenovic-1,nik-ognenovic-1,2021
16,Shawn Naim,3,,,,,2,6,3.0,0,2,6,3.0,0,akron,/cfb/players/shawn-naim-1,shawn-naim-1,2021
1,Demarcus Irons Jr.,10,133,314,2.4,4,,,,,133,314,2.4,4,akron,/cfb/players/demarcus-irons-jr-1,demarcus-irons-jr-1,2022
2,Cam Wiley,10,106,486,4.6,5,22,117,5.3,0,128,603,4.7,5,akron,/cfb/players/cam-wiley-1,cam-wiley-1,2022
3,Clyde Price,12,99,309,3.1,7,31,139,4.5,1,130,448,3.4,8,akron,/cfb/players/clyde-price-1,clyde-price-1,2022
4,Jeff Undercuffler,7,17,-83,-4.9,0,,,,,17,-83,-4.9,0,akron,/cfb/players/jeff-undercuffler-2,jeff-undercuffler-2,2022
5,Jonzell Norrils,5,9,22,2.4,0,2,12,6.0,0,11,34,3.1,0,akron,/cfb/players/jonzell-norrils-1,jonzell-norrils-1,2022
6,Blake Hester,12,3,10,3.3,0,,,,,3,10,3.3,0,akron,/cfb/players/blake-hester-1,blake-hester-1,2022
7,Charles Kellom,1,2,27,13.5,0,,,,,2,27,13.5,0,akron,/cfb/players/charles-kellom-1,charles-kellom-1,2022
8,Daniel George,12,1,5,5.0,0,67,793,11.8,2,68,798,11.7,2,akron,/cfb/players/daniel-george-1,daniel-george-1,2022
9,Ryan Jankowski,2,1,-8,-8.0,0,,,,,1,-8,-8.0,0,akron,/cfb/players/ryan-jankowski-1,ryan-jankowski-1,2022
10,Anthony Grimes,9,,4,,,10,83,8.3,0,10,87,8.7,0,akron,/cfb/players/anthony-grimes-1,anthony-grimes-1,2022
11,Shocky Jacques-Louis,12,,,,,74,931,12.6,2,74,931,12.6,2,akron,/cfb/players/shocky-jacques-louis-1,shocky-jacques-louis-1,2022
12,Alex Adams,11,,,,,63,856,13.6,9,63,856,13.6,9,akron,/cfb/players/alex-adams-1,alex-adams-1,2022
13,T.J. Banks,12,,,,,21,175,8.3,0,21,175,8.3,0,akron,/cfb/players/tj-banks-1,tj-banks-1,2022
14,Tristian Brank,12,,,,,16,153,9.6,1,16,153,9.6,1,akron,/cfb/players/tristian-brank-1,tristian-brank-1,2022
15,Shawn Naim,10,,,,,5,42,8.4,0,5,42,8.4,0,akron,/cfb/players/shawn-naim-1,shawn-naim-1,2022
16,Caleb Anderson,10,,,,,5,39,7.8,0,5,39,7.8,0,akron,/cfb/players/caleb-anderson-2,caleb-anderson-2,2022
17,Anthony Williams Jr.,5,,,,,4,36,9.0,0,4,36,9.0,0,akron,/cfb/players/anthony-williams-jr-1,anthony-williams-jr-1,2022
18,Jasaiah Gathings,2,,,,,1,16,16.0,0,1,16,16.0,0,akron,/cfb/players/jasaiah-gathings-1,jasaiah-gathings-1,2022
19,Bobby Golden,9,,,,,1,5,5.0,0,1,5,5.0,0,akron,/cfb/players/bobby-golden-2,bobby-golden-2,2022
20,Tony Georges,12,,,,,1,0,0.0,0,1,0,0.0,0,akron,/cfb/players/tony-georges-1,tony-georges-1,2022
1,Steve Loflin,11,122,187,1.5,2,,,,,122,187,1.5,2,appalachian-state,/cfb/players/steve-loflin-1,steve-loflin-1,1972
2,Tim Cokley,11,78,347,4.4,1,5,23,4.6,0,83,370,4.5,1,appalachian-state,/cfb/players/tim-cokley-1,tim-cokley-1,1972
3,Tommy Harris,10,68,280,4.1,1,1,20,20.0,0,69,300,4.3,1,appalachian-state,/cfb/players/tommy-harris-2,tommy-harris-2,1972
4,Charlie Haugabrook,11,55,235,4.3,2,1,19,19.0,0,56,254,4.5,2,appalachian-state,/cfb/players/charlie-haugabrook-1,charlie-haugabrook-1,1972
5,Tommy Bacote,9,52,171,3.3,1,,,,,52,171,3.3,1,appalachian-state,/cfb/players/tommy-bacote-1,tommy-bacote-1,1972
6,Clint Bradshaw,8,47,234,5.0,3,23,254,11.0,3,70,488,7.0,6,appalachian-state,/cfb/players/clint-bradshaw-1,clint-bradshaw-1,1972
7,James Tucker,10,39,216,5.5,1,,,,,39,216,5.5,1,appalachian-state,/cfb/players/james-tucker-3,james-tucker-3,1972
8,Mike Horton,6,14,52,3.7,0,,,,,14,52,3.7,0,appalachian-state,/cfb/players/mike-horton-1,mike-horton-1,1972
9,John Leazer,9,13,47,3.6,0,1,6,6.0,0,14,53,3.8,0,appalachian-state,/cfb/players/john-leazer-1,john-leazer-1,1972
10,Phil Coccioletti,3,11,55,5.0,0,,,,,11,55,5.0,0,appalachian-state,/cfb/players/phil-coccioletti-1,phil-coccioletti-1,1972
11,Chet Groesbeck,9,4,8,2.0,0,,,,,4,8,2.0,0,appalachian-state,/cfb/players/chet-groesbeck-1,chet-groesbeck-1,1972
12,Richard Agle,11,2,19,9.5,0,24,605,25.2,8,26,624,24.0,8,appalachian-state,/cfb/players/richard-agle-1,richard-agle-1,1972
13,Andy Odroneic,3,2,9,4.5,0,,,,,2,9,4.5,0,appalachian-state,/cfb/players/andy-odroneic-1,andy-odroneic-1,1972
14,Dwight Gates,11,1,23,23.0,0,26,473,18.2,6,27,496,18.4,6,appalachian-state,/cfb/players/dwight-gates-1,dwight-gates-1,1972
15,Ray Haskett,10,1,-8,-8.0,0,,,,,1,-8,-8.0,0,appalachian-state,/cfb/players/ray-haskett-1,ray-haskett-1,1972
16,Joe Gibbons,11,,,,,6,98,16.3,1,6,98,16.3,1,appalachian-state,/cfb/players/joe-gibbons-1,joe-gibbons-1,1972
17,Ken Avery,11,,,,,2,15,7.5,0,2,15,7.5,0,appalachian-state,/cfb/players/ken-avery-1,ken-avery-1,1972
18,Jeff Fela,7,,,,,1,9,9.0,0,1,9,9.0,0,appalachian-state,/cfb/players/jeff-fela-1,jeff-fela-1,1972
19,Barney Myers,8,,,,,1,9,9.0,0,1,9,9.0,0,appalachian-state,/cfb/players/barney-myers-1,barney-myers-1,1972
1,Phil Coccioletti,11,90,374,4.2,3,,,,,90,374,4.2,3,appalachian-state,/cfb/players/phil-coccioletti-1,phil-coccioletti-1,1973
2,James Tucker,11,89,342,3.8,3,,,,,89,342,3.8,3,appalachian-state,/cfb/players/james-tucker-3,james-tucker-3,1973
3,Charlie Haugabrook,11,87,370,4.3,2,,,,,87,370,4.3,2,appalachian-state,/cfb/players/charlie-haugabrook-1,charlie-haugabrook-1,1973
4,Roscoe Batts,11,68,171,2.5,2,,,,,68,171,2.5,2,appalachian-state,/cfb/players/roscoe-batts-1,roscoe-batts-1,1973
5,Clint Bradshaw,11,63,313,5.0,0,7,45,6.4,1,70,358,5.1,1,appalachian-state,/cfb/players/clint-bradshaw-1,clint-bradshaw-1,1973
6,Devon Ford,11,46,208,4.5,3,16,215,13.4,0,62,423,6.8,3,appalachian-state,/cfb/players/devon-ford-1,devon-ford-1,1973
7,Randy Merritt,11,41,175,4.3,3,,,,,41,175,4.3,3,appalachian-state,/cfb/players/randy-merritt-1,randy-merritt-1,1973
8,Bob Steelman,11,,,,,19,401,21.1,2,19,401,21.1,2,appalachian-state,/cfb/players/bob-steelman-1,bob-steelman-1,1973
9,Dwight Gates,11,,,,,17,298,17.5,2,17,298,17.5,2,appalachian-state,/cfb/players/dwight-gates-1,dwight-gates-1,1973
10,Chuck Hartman,11,,,,,13,245,18.8,0,13,245,18.8,0,appalachian-state,/cfb/players/chuck-hartman-1,chuck-hartman-1,1973
1,Robby Price,11,118,349,3.0,5,,,,,118,349,3.0,5,appalachian-state,/cfb/players/robby-price-1,robby-price-1,1974
2,Clint Bradshaw,11,106,569,5.4,3,10,81,8.1,0,116,650,5.6,3,appalachian-state,/cfb/players/clint-bradshaw-1,clint-bradshaw-1,1974
3,Phil Coccioletti,11,69,143,2.1,2,,,,,69,143,2.1,2,appalachian-state,/cfb/players/phil-coccioletti-1,phil-coccioletti-1,1974
4,Richard Patrick,8,67,322,4.8,3,2,19,9.5,0,69,341,4.9,3,appalachian-state,/cfb/players/richard-patrick-1,richard-patrick-1,1974
5,Jimmy Dobbins,8,53,218,4.1,1,1,5,5.0,0,54,223,4.1,1,appalachian-state,/cfb/players/jimmy-dobbins-1,jimmy-dobbins-1,1974
6,Emmitt Hamilton,8,51,206,4.0,2,9,91,10.1,0,60,297,5.0,2,appalachian-state,/cfb/players/emmitt-hamilton-1,emmitt-hamilton-1,1974
7,Charlie Haugabrook,7,40,91,2.3,0,2,16,8.0,0,42,107,2.5,0,appalachian-state,/cfb/players/charlie-haugabrook-1,charlie-haugabrook-1,1974
8,Randy Merritt,6,23,69,3.0,0,,,,,23,69,3.0,0,appalachian-state,/cfb/players/randy-merritt-1,randy-merritt-1,1974
9,Calvin Simon,5,22,82,3.7,1,1,2,2.0,0,23,84,3.7,1,appalachian-state,/cfb/players/calvin-simon-1,calvin-simon-1,1974
10,Devon Ford,8,10,49,4.9,0,11,232,21.1,1,21,281,13.4,1,appalachian-state,/cfb/players/devon-ford-1,devon-ford-1,1974
11,Jody Caldwell,2,9,46,5.1,0,,,,,9,46,5.1,0,appalachian-state,/cfb/players/jody-caldwell-1,jody-caldwell-1,1974
12,Mike Clark,2,4,28,7.0,0,2,23,11.5,1,6,51,8.5,1,appalachian-state,/cfb/players/mike-clark-6,mike-clark-6,1974
13,Andy Goins,1,1,-3,-3.0,0,,,,,1,-3,-3.0,0,appalachian-state,/cfb/players/andy-goins-1,andy-goins-1,1974
14,Donnie Holt,9,,,,,28,410,14.6,2,28,410,14.6,2,appalachian-state,/cfb/players/donnie-holt-1,donnie-holt-1,1974
15,Billy Yeager,5,,,,,6,88,14.7,2,6,88,14.7,2,appalachian-state,/cfb/players/billy-yeager-1,billy-yeager-1,1974
1,Robby Price,11,168,603,3.6,10,,,,,168,603,3.6,10,appalachian-state,/cfb/players/robby-price-1,robby-price-1,1975
2,Calvin Simon,11,146,740,5.1,3,9,82,9.1,0,155,822,5.3,3,appalachian-state,/cfb/players/calvin-simon-1,calvin-simon-1,1975
3,Emmitt Hamilton,11,126,844,6.7,9,19,291,15.3,3,145,1135,7.8,12,appalachian-state,/cfb/players/emmitt-hamilton-1,emmitt-hamilton-1,1975
4,Richard Patrick,11,90,528,5.9,3,,,,,90,528,5.9,3,appalachian-state,/cfb/players/richard-patrick-1,richard-patrick-1,1975
5,Phil Coccioletti,11,77,383,5.0,4,1,21,21.0,0,78,404,5.2,4,appalachian-state,/cfb/players/phil-coccioletti-1,phil-coccioletti-1,1975
6,Willie Brown,11,16,82,5.1,0,,,,,16,82,5.1,0,appalachian-state,/cfb/players/willie-brown-3,willie-brown-3,1975
7,Jimmy Dobbins,11,15,79,5.3,1,,,,,15,79,5.3,1,appalachian-state,/cfb/players/jimmy-dobbins-1,jimmy-dobbins-1,1975
8,Chris Swecker,11,13,4,0.3,0,,,,,13,4,0.3,0,appalachian-state,/cfb/players/chris-swecker-1,chris-swecker-1,1975
9,Tom Gary,11,12,30,2.5,1,,,,,12,30,2.5,1,appalachian-state,/cfb/players/tom-gary-1,tom-gary-1,1975
10,Andy Goins,11,9,26,2.9,0,,,,,9,26,2.9,0,appalachian-state,/cfb/players/andy-goins-1,andy-goins-1,1975
11,Scott McConnell,11,8,60,7.5,0,,,,,8,60,7.5,0,appalachian-state,/cfb/players/scott-mcconnell-1,scott-mcconnell-1,1975
12,Charlie Haugabrook,11,6,11,1.8,0,,,,,6,11,1.8,0,appalachian-state,/cfb/players/charlie-haugabrook-1,charlie-haugabrook-1,1975
13,Randy Merritt,11,5,32,6.4,1,,,,,5,32,6.4,1,appalachian-state,/cfb/players/randy-merritt-1,randy-merritt-1,1975
14,Devon Ford,11,3,10,3.3,0,7,210,30.0,2,10,220,22.0,2,appalachian-state,/cfb/players/devon-ford-1,devon-ford-1,1975
15,Mike Maybin,11,1,13,13.0,0,,,,,1,13,13.0,0,appalachian-state,/cfb/players/mike-maybin-1,mike-maybin-1,1975
16,Donnie Holt,11,,,,,27,389,14.4,3,27,389,14.4,3,appalachian-state,/cfb/players/donnie-holt-1,donnie-holt-1,1975
17,Billy Yeager,11,,,,,11,147,13.4,0,11,147,13.4,0,appalachian-state,/cfb/players/billy-yeager-1,billy-yeager-1,1975
18,Mike Clark,11,,,,,2,22,11.0,1,2,22,11.0,1,appalachian-state,/cfb/players/mike-clark-6,mike-clark-6,1975
19,Roy Thompson,11,,,,,1,1,1.0,1,1,1,1.0,1,appalachian-state,/cfb/players/roy-thompson-2,roy-thompson-2,1975
1,Emmitt Hamilton,11,117,522,4.5,5,18,317,17.6,1,135,839,6.2,6,appalachian-state,/cfb/players/emmitt-hamilton-1,emmitt-hamilton-1,1976
2,Tom Gary,11,96,359,3.7,5,,,,,96,359,3.7,5,appalachian-state,/cfb/players/tom-gary-1,tom-gary-1,1976
3,John Craig,11,93,476,5.1,4,,,,,93,476,5.1,4,appalachian-state,/cfb/players/john-craig-1,john-craig-1,1976
4,Scott McConnell,11,82,562,6.9,4,7,57,8.1,0,89,619,7.0,4,appalachian-state,/cfb/players/scott-mcconnell-1,scott-mcconnell-1,1976
5,Calvin Simon,11,50,176,3.5,3,5,58,11.6,0,55,234,4.3,3,appalachian-state,/cfb/players/calvin-simon-1,calvin-simon-1,1976
6,Robby Price,11,48,105,2.2,2,,,,,48,105,2.2,2,appalachian-state,/cfb/players/robby-price-1,robby-price-1,1976
7,Jimmy Dobbins,11,47,259,5.5,1,2,24,12.0,1,49,283,5.8,2,appalachian-state,/cfb/players/jimmy-dobbins-1,jimmy-dobbins-1,1976
8,Milton Clark,11,42,161,3.8,2,1,10,10.0,0,43,171,4.0,2,appalachian-state,/cfb/players/milton-clark-1,milton-clark-1,1976
9,Chris Swecker,11,28,48,1.7,1,,,,,28,48,1.7,1,appalachian-state,/cfb/players/chris-swecker-1,chris-swecker-1,1976
10,Gary Falden,11,10,71,7.1,0,,,,,10,71,7.1,0,appalachian-state,/cfb/players/gary-falden-1,gary-falden-1,1976
11,Andy Goins,11,10,47,4.7,2,,,,,10,47,4.7,2,appalachian-state,/cfb/players/andy-goins-1,andy-goins-1,1976
12,Dennis McCorkle,11,6,22,3.7,0,,,,,6,22,3.7,0,appalachian-state,/cfb/players/dennis-mccorkle-1,dennis-mccorkle-1,1976
13,Eddie Estes,11,6,20,3.3,0,,,,,6,20,3.3,0,appalachian-state,/cfb/players/eddie-estes-1,eddie-estes-1,1976
14,Greg Kilday,11,6,16,2.7,0,,,,,6,16,2.7,0,appalachian-state,/cfb/players/greg-kilday-1,greg-kilday-1,1976
15,Mike Maybin,11,2,18,9.0,0,7,96,13.7,1,9,114,12.7,1,appalachian-state,/cfb/players/mike-maybin-1,mike-maybin-1,1976
16,Pat Swisher,11,2,-3,-1.5,0,1,14,14.0,0,3,11,3.7,0,appalachian-state,/cfb/players/pat-swisher-1,pat-swisher-1,1976
17,Charles Williams,11,2,-4,-2.0,0,,,,,2,-4,-2.0,0,appalachian-state,/cfb/players/charles-williams-3,charles-williams-3,1976
18,Joe Parker,11,1,13,13.0,0,,,,,1,13,13.0,0,appalachian-state,/cfb/players/joe-parker-1,joe-parker-1,1976
19,Vic McLean,11,1,12,12.0,0,,,,,1,12,12.0,0,appalachian-state,/cfb/players/vic-mclean-1,vic-mclean-1,1976
20,Randy Edwards,11,1,3,3.0,0,,,,,1,3,3.0,0,appalachian-state,/cfb/players/randy-edwards-1,randy-edwards-1,1976
21,Brian Roebuck,11,1,3,3.0,0,,,,,1,3,3.0,0,appalachian-state,/cfb/players/brian-roebuck-1,brian-roebuck-1,1976
22,Mike Cansler,11,1,1,1.0,0,,,,,1,1,1.0,0,appalachian-state,/cfb/players/mike-cansler-1,mike-cansler-1,1976
23,Danny Canter,11,1,0,0.0,0,,,,,1,0,0.0,0,appalachian-state,/cfb/players/danny-canter-1,danny-canter-1,1976
24,Donnie Holt,11,,,,,16,209,13.1,1,16,209,13.1,1,appalachian-state,/cfb/players/donnie-holt-1,donnie-holt-1,1976
25,Terry Smith,11,,,,,1,26,26.0,1,1,26,26.0,1,appalachian-state,/cfb/players/terry-smith-1,terry-smith-1,1976
26,Kim Owen,11,,,,,1,11,11.0,0,1,11,11.0,0,appalachian-state,/cfb/players/kim-owen-1,kim-owen-1,1976
